Year,Electric Range
2017,16
2018,16
2017,210
2021,25
2020,308
2023,21
2017,53
2020,322
2022,23
2017,53
2018,238
2015,208
2013,75
2018,53
2020,322
2017,210
2022,18
2015,87
2018,151
2022,26
2020,259
2017,84
2019,238
2017,238
2017,107
2020,25
2019,204
2020,293
2018,238
2019,150
2014,38
2020,322
2020,239
2015,84
2018,151
2019,150
2021,18
2020,25
2013,75
2013,75
2018,215
2013,19
2013,38
2019,220
2018,238
2018,238
2016,200
2017,21
2015,84
2024,22
2020,259
2018,215
2020,308
2018,215
2016,84
2016,19
2023,39
2020,266
2018,238
2019,220
2018,215
2019,150
2022,22
2019,220
2015,208
2019,150
2016,210
2021,32
2019,220
2023,21
2016,83
2022,32
2018,47
2018,215
2024,37
2018,238
2020,322
2018,215
2016,40
2018,249
2018,215
2020,291
2013,75
2017,25
2019,220
2024,26
2014,19
2014,38
2020,291
2020,291
2018,58
2013,75
2019,26
2013,75
2020,322
2015,84
2017,107
2020,330
2020,149
2023,21
2019,26
2022,42
2011,73
2016,200
2013,208
2014,19
2018,215
2019,22
2019,220
2019,220
2018,238
2018,215
2019,25
2020,18
2024,21
2020,25
2021,18
2019,289
2020,19
2023,30
2017,10
2019,220
2019,239
2020,203
2018,238
2017,200
2021,30
2013,38
2023,21
2014,208
2018,19
2018,26
2017,210
2017,97
2017,107
2022,25
2022,21
2018,215
2018,151
2022,35
2024,32
2019,220
2020,322
2017,107
2020,322
2019,220
2021,17
2018,238
2013,75
2019,25
2019,150
2020,291
2013,75
2020,291
2019,53
2018,33
2015,208
2024,21
2022,25
2017,107
2023,21
2018,215
2022,35
2023,30
2018,151
2020,19
2020,291
2018,53
2020,25
2020,330
2019,220
2022,42
2017,25
2016,53
2019,270
2020,239
2022,38
2020,308
2017,210
2024,39
2019,125
2020,149
2019,289
2018,215
2015,208
2017,238
2018,215
2013,75
2018,238
2014,87
2018,151
2017,238
2023,21
2015,208
2019,32
2020,291
2014,84
2023,42
2019,16
2023,21
2024,37
2019,15
2019,150
2020,322
2019,17
2018,215
2016,82
2016,16
2018,215
2023,21
2016,11
2016,93
2020,322
2018,16
2019,220
2017,20
2016,84
2020,149
2023,34
2015,82
2024,39
2019,53
2017,25
2011,73
2015,208
2014,208
2019,220
2023,21
2014,19
2017,29
2019,220
2023,21
2018,33
2019,239
2019,125
2020,32
2020,25
2012,73
2023,35
2017,81
2013,75
2023,21
2021,17
2017,238
2024,32
2018,215
2023,34
2023,39
2014,208
2018,215
2017,107
2019,26
2022,18
2014,208
2023,21
2023,32
2024,20
2020,293
2023,23
2020,266
2015,19
2014,208
2019,220
2018,215
2015,84
2016,200
2017,53
2015,72
2017,200
2013,6
2018,17
2015,84
2014,6
2024,32
2015,208
2022,33
2014,19
2016,210
2015,208
2020,259
2019,204
2020,259
2023,42
2018,215
2019,270
2012,6
2022,30
2024,39
2021,42
2014,87
2018,215
2016,210
2017,107
2017,107
2020,149
2020,322
2019,150
2018,215
2020,32
2017,20
2023,35
2018,215
2017,25
2014,84
2023,17
2020,291
2014,208
2024,21
2017,84
2018,47
2018,215
2018,33
2019,150
2019,270
2021,42
2018,238
2019,125
2019,239
2022,30
2016,200
2019,270
2017,210
2019,258
2020,322
2019,220
2023,30
2024,32
2016,210
2016,93
2019,220
2019,220
2012,6
2023,33
2019,22
2012,35
2023,25
2020,291
2018,53
2023,33
2018,215
2020,322
2023,42
2021,25
2018,151
2012,35
2018,215
2018,215
2019,204
2019,220
2022,26
2018,26
2017,16
2023,34
2022,30
2017,97
2019,238
2018,151
2022,32
2020,291
2017,210
2023,32
2018,249
2019,220
2020,266
2018,215
2022,30
2017,238
2021,21
2018,215
2013,68
2018,151
2018,238
2024,26
2015,208
2018,53
2013,38
2018,215
2021,32
2015,82
2019,289
2023,34
2023,21
2020,149
2017,53
2018,249
2018,215
2023,21
2016,210
2013,75
2024,39
2024,35
2023,21
2024,32
2019,220
2016,200
2023,21
2018,215
2018,215
2017,93
2019,238
2021,30
2020,126
2019,220
2023,21
2020,259
2013,208
2017,238
2016,83
2022,42
2020,20
2012,6
2024,39
2019,204
2019,150
2019,220
2011,73
2019,22
2014,19
2016,81
2016,84
2017,210
2020,239
2018,53
2016,84
2020,308
2018,215
2018,249
2023,30
2018,151
2024,35
2018,25
2014,208
2020,322
2016,84
2018,215
2015,84
2015,83
2019,238
2022,22
2018,47
2018,151
2017,107
2017,238
2014,72
2024,32
2020,259
2019,239
2016,72
2019,239
2016,93
2012,6
2021,18
2018,215
2017,16
2021,18
2017,200
2018,215
2017,84
2022,17
2014,6
2020,149
2020,322
2020,266
2019,220
2017,53
2024,21
2020,266
2019,220
2023,21
2020,26
2017,84
2016,210
2011,73
2015,208
2023,33
2016,19
2019,220
2015,19
2020,259
2013,75
2017,53
2023,21
2014,84
2020,330
2023,30
2019,238
2018,151
2024,33
2019,220
2017,238
2018,53
2023,42
2017,53
2018,16
2021,18
2020,266
2024,39
2018,215
2023,32
2019,220
2023,42
2018,25
2020,291
2017,53
2023,30
2021,21
2023,21
2017,25
2020,18
2023,21
2021,25
2018,215
2020,308
2013,75
2018,215
2020,20
2022,22
2011,35
2022,18
2022,22
2023,32
2023,21
2015,84
2019,32
2019,289
2023,39
2019,270
2017,93
2018,215
2018,215
2014,58
2015,84
2017,53
2012,6
2020,291
2016,83
2016,210
2016,83
2018,25
2023,25
2019,220
2021,218
2019,150
2018,25
2016,200
2019,220
2023,30
2020,291
2024,39
2015,84
2020,291
2022,42
2018,215
2020,259
2018,249
2018,215
2014,72
2018,215
2021,20
2023,21
2016,200
2018,215
2017,238
2019,125
2020,266
2019,14
2021,203
2020,293
2017,53
2013,87
2015,19
2021,42
2019,220
2018,238
2019,26
2018,215
2023,32
2018,215
2018,215
2021,18
2020,25
2024,32
2018,215
2019,234
2017,53
2022,25
2015,208
2016,83
2018,249
2022,30
2015,84
2016,84
2014,84
2021,110
2022,32
2015,84
2018,215
2024,21
2019,238
2013,19
2022,22
2020,291
2018,151
2016,210
2019,150
2022,18
2018,47
2018,238
2019,150
2013,19
2016,93
2012,6
2018,215
2023,30
2017,14
2018,16
2019,150
2016,16
2014,72
2022,30
2017,125
2016,84
2018,151
2023,42
2018,215
2011,73
2016,84
2015,81
2015,82
2020,322
2022,30
2018,8
2020,239
2013,75
2019,238
2020,293
2023,30
2020,259
2019,220
2016,82
2018,215
2018,151
2020,291
2016,87
2023,21
2018,21
2018,215
2020,18
2020,25
2020,322
2012,73
2016,16
2017,107
2018,238
2018,215
2019,239
2019,150
2023,32
2016,84
2024,21
2017,25
2017,53
2016,84
2020,149
2018,22
2016,84
2018,215
2016,84
2023,21
2019,239
2013,38
2016,200
2023,32
2014,84
2018,19
2017,200
2022,32
2013,19
2018,215
2023,32
2024,42
2013,75
2023,21
2019,220
2017,238
2018,33
2024,25
2018,215
2013,38
2020,291
2018,238
2020,153
2016,84
2018,47
2022,42
2017,27
2018,53
2020,239
2018,111
2018,215
2017,210
2012,6
2022,35
2019,26
2021,18
2023,23
2017,14
2019,204
2013,19
2023,42
2023,32
2019,238
2023,21
2014,38
2014,38
2020,266
2016,19
2016,84
2023,21
2020,266
2012,73
2014,19
2014,84
2014,38
2019,26
2020,259
2019,220
2016,72
2020,289
2018,215
